Category	Class	Country	Dates	Race
Men Elite	1.1 - 1 day - Class 1	Netherlands	13-Mar-22	Albert Achterhes Profronde van Drenthe 
Men Elite	1.2 - 1 day - Class 2	Netherlands	13-Mar-22	Dorpenomloop Rucphen
Men Elite	1.2 - 1 day - Class 2	Portugal	13-Mar-22	Classica da Arrabida - Cyclin'Portugal
Men Elite	2.1 - Stages - Class 1	Taiwan	13 Mar - 17 Mar 2022	Tour de Taiwan
Men Elite	1.Pro - 1 day - ProSeries	Belgium	16-Mar-22	Danilith Nokere Koerse
Women Elite	1.Pro - 1 day - ProSeries	Belgium	16-Mar-22	Danilith Nokere Koerse
Men Elite	1.Pro - 1 day - ProSeries	Italy	16-Mar-22	Milano - Torino
Men Elite	2.2 - Stages - Class 2	Portugal	16 Mar - 20 Mar 2022	Volta ao Alentejo
Men Elite	2.2 - Stages - Class 2	Netherlands	16 Mar - 20 Mar 2022	Olympia's Tour
Men Junior	2.1 - Stages - Class 1	Turkey	17-Mar-22	Velo Alanya Junior (ITT)
Men Elite	1.Pro - 1 day - ProSeries	France	17-Mar-22	Grand Prix de Denain - Porte du Hainaut
Men Junior	2.1 - Stages - Class 1	Turkey	18-Mar-22	Velo Alanya Junior (IRR)
Men Elite	1.Pro - 1 day - ProSeries	Belgium	18-Mar-22	Bredene Koksijde Classic
Men Under 23	1.2U - 1 day - Class 2 - U23	Belgium	18-Mar-22	Youngster Coast Challenge
Men Elite	CN - National Championships	Argentina	18 Mar - 20 Mar 2022	National Road Championships - Argentina
Men Elite	1.2 - 1 day - Class 2	Turkey	19-Mar-22	Grand Prix Manavgat Side
Men Elite	1.1 - 1 day - Class 1	France	19-Mar-22	Classic Loire Atlantique
Men Elite	1.UWT - 1 day - UCI WorldTour	Italy	19-Mar-22	Milano-Sanremo
Men Elite	1.1 - 1 day - Class 1	France	20-Mar-22	Cholet - Pays de la Loire
Men Elite	1.2 - 1 day - Class 2	Greece	20-Mar-22	International Rhodes Grand Prix
Men Elite	1.1 - 1 day - Class 1	Italy	20-Mar-22	Per Sempre Alfredo
Men Elite	1.2 - 1 day - Class 2	Italy	20-Mar-22	Popolarissima
Women Junior	1.Ncup - 1 day - Class Nations' Cup	Italy	20-Mar-22	Piccolo Trofeo Alfredo Binda - Valli del Verbano
Men Elite	1.2 - 1 day - Class 2	Turkey	20-Mar-22	Grand Prix Gündoğmuş
Men Junior	1.1 - 1 day - Class 1	Belgium	20-Mar-22	Guido Reybrouck Classic
Men Elite	1.2 - 1 day - Class 2	Slovenia	20-Mar-22	GP Slovenian Istria
Men Junior	1.1 - 1 day - Class 1	France	20-Mar-22	Bernaudeau Junior
Men Elite	1.2 - 1 day - Class 2	Belgium	20-Mar-22	Grand Prix Criquielion
Women Elite	1.1 - 1 day - Class 1	Belgium	20-Mar-22	Omloop van de Westhoek - Memorial Stive Vermaut
Women Elite	1.WWT - 1 day - UCI Women’s WorldTour	Italy	20-Mar-22	Trofeo Alfredo Binda - Comune di Cittiglio
Men Elite	2.Pro - Stages - ProSeries	China	20 Mar - 27 Mar 2022	Tour of Hainan
Men Elite	2.2 - Stages - Class 2	France	21 Mar - 27 Mar 2022	Tour de Normandie
Men Elite	2.UWT - Stages - UCI WorldTour	Spain	21 Mar - 27 Mar 2022	Volta Ciclista a Catalunya
Men Elite	2.1 - Stages - Class 1	Italy	22 Mar - 26 Mar 2022	Settimana Internazionale Coppi e Bartali
Men Elite	1.UWT - 1 day - UCI WorldTour	Belgium	23-Mar-22	Oxyclean Classic Brugge-De Panne
Women Elite	1.WWT - 1 day - UCI Women’s WorldTour	Belgium	24-Mar-22	Oxyclean Classic Brugge-De Panne
