Date,Rank,Points,Rider,Team,Year,Race,UCI Class,Type,Code,Series,Race days,UCI Category,Classification
30-May-21,27,24,OLIVEIRA Nelson,Movistar Team,2021,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 GC,WorldTour,21,Tier 2,GC
18-Jun-21,4,15,OLIVEIRA Nelson,Movistar Team,2021,National Road Championships - Portugal (ME),CN,Championships,CN ME ITT,Other,1,CN,ME ITT
20-Jun-21,15,1,OLIVEIRA Nelson,Movistar Team,2021,National Road Championships - Portugal (ME),CN,Championships,CN ME RR,Other,1,CN,ME RR
24-Jul-21,41,10,OLIVEIRA Nelson,Movistar Team,2021,Jeux Olympiques / Olympic Games - IRR,JO,Championships,JO ME RR,Other,1,JO,ME RR
12-Sep-21,28,5,OLIVEIRA Nelson,Movistar Team,2021,UEC Road European Championships,CC,Championships,CC ME RR,Other,1,CC,ME RR
19-Sep-21,13,25,OLIVEIRA Nelson,Movistar Team,2021,Championnats du Monde Route UCI / UCI Road World Championships,CM,Championships,CM ME ITT,Other,1,CM,ME ITT
26-Sep-21,55,5,OLIVEIRA Nelson,Movistar Team,2021,Championnats du Monde Route UCI / UCI Road World Championships,CM,Championships,CM ME RR,Other,1,CM,ME RR
5-Oct-21,11,30,OLIVEIRA Nelson,Movistar Team,2021,100^ Tre Valli Varesine,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
9-Oct-21,16,30,OLIVEIRA Nelson,Movistar Team,2021,Il Lombardia,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
27-Feb-21,52,2,PEDRERO Antonio,Movistar Team,2021,UAE Tour,2.UWT,Stage Race,Tier 5 GC,WorldTour,7,Tier 5,GC
30-Apr-21,2,5,PEDRERO Antonio,Movistar Team,2021,Vuelta Asturias Julio Alvarez Mendo,2.1,Stage Race,C1 SC,Other,,2.1,SC
2-May-21,2,85,PEDRERO Antonio,Movistar Team,2021,Vuelta Asturias Julio Alvarez Mendo,2.1,Stage Race,C1 GC,Other,3,2.1,GC
30-May-21,22,32,PEDRERO Antonio,Movistar Team,2021,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 GC,WorldTour,21,Tier 2,GC
12-Jun-21,1,14,PEDRERO Antonio,Movistar Team,2021,La Route d'Occitanie - La Dépêche du Midi,2.1,Stage Race,C1 SC,Other,,2.1,SC
12-Jun-21,1,3,PEDRERO Antonio,Movistar Team,2021,La Route d'Occitanie - La Dépêche du Midi,2.1,Stage Race,C1 SGC,Other,,2.1,SGC
13-Jun-21,1,125,PEDRERO Antonio,Movistar Team,2021,La Route d'Occitanie - La Dépêche du Midi,2.1,Stage Race,C1 GC,Other,4,2.1,GC
20-Jun-21,13,1,PEDRERO Antonio,Movistar Team,2021,National Road Championships - Spain,CN,Championships,CN ME RR,Other,1,CN,ME RR
16-Sep-21,8,50,PEDRERO Antonio,Movistar Team,2021,Coppa Sabatini - Gran Premio città di Peccioli,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
27-Feb-21,21,12,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Omloop Het Nieuwsblad Elite,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
6-Mar-21,49,5,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Strade Bianche,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
16-Mar-21,38,10,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Tirreno-Adriatico,2.UWT,Stage Race,Tier 3 GC,WorldTour,7,Tier 3,GC
20-Mar-21,25,20,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Milano-Sanremo,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
24-Mar-21,53,2,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Oxyclean Classic Brugge-De Panne,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
14-May-21,8,30,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Trofeo Serra de Tramuntana (Lloseta - Deia),1.1,One Day,C1 GC,Other,1,1.1,GC
18-May-21,1,20,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Vuelta a Andalucia Ruta Ciclista Del Sol,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
18-May-21,1,5,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Vuelta a Andalucia Ruta Ciclista Del Sol,2.Pro,Stage Race,P SGC,ProSeries,,2.Pro,SGC
22-May-21,15,10,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Vuelta a Andalucia Ruta Ciclista Del Sol,2.Pro,Stage Race,P GC,ProSeries,5,2.Pro,GC
23-May-21,3,70,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Vuelta Ciclista a la Región de Murcia Costa Calida,2.1,Stage Race,C1 GC,Other,1,2.1,GC
13-Jun-21,13,50,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Tour de Suisse,2.UWT,Stage Race,Tier 3 GC,WorldTour,8,Tier 3,GC
20-Jun-21,4,50,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,National Road Championships - Spain,CN,Championships,CN ME RR,Other,1,CN,ME RR
25-Jul-21,7,35,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Prueba Villafranca - Ordiziako Klasika,1.1,One Day,C1 GC,Other,1,1.1,GC
29-Jul-21,14,5,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Vuelta a Castilla y Leon,1.1,One Day,C1 GC,Other,1,1.1,GC
31-Jul-21,11,56,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Donostia San Sebastian Klasikoa,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
3-Aug-21,2,10,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Vuelta a Burgos,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
4-Aug-21,1,5,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Vuelta a Burgos,2.Pro,Stage Race,P SGC,ProSeries,,2.Pro,SGC
7-Aug-21,40,3,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Vuelta a Burgos,2.Pro,Stage Race,P GC,ProSeries,5,2.Pro,GC
29-Aug-21,18,24,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Bretagne Classic - Ouest-France,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
5-Sep-21,3,5,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Tour of Britain,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
12-Sep-21,11,30,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Tour of Britain,2.Pro,Stage Race,P GC,ProSeries,8,2.Pro,GC
26-Sep-21,44,10,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Championnats du Monde Route UCI / UCI Road World Championships,CM,Championships,CM ME RR,Other,1,CM,ME RR
7-Oct-21,18,5,SERRANO RODRIGUEZ Gonzalo,Movistar Team,2021,Gran Piemonte,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
16-Mar-21,11,70,SOLER Marc,Movistar Team,2021,Tirreno-Adriatico,2.UWT,Stage Race,Tier 3 GC,WorldTour,7,Tier 3,GC
30-Apr-21,1,60,SOLER Marc,Movistar Team,2021,Tour de Romandie,2.UWT,Stage Race,Tier 3 SC,WorldTour,,Tier 3,SC
30-Apr-21,1,10,SOLER Marc,Movistar Team,2021,Tour de Romandie,2.UWT,Stage Race,Tier 3 SGC,WorldTour,,Tier 3,SGC
2-May-21,4,275,SOLER Marc,Movistar Team,2021,Tour de Romandie,2.UWT,Stage Race,Tier 3 GC,WorldTour,6,Tier 3,GC
27-Feb-21,40,5,VALVERDE Alejandro,Movistar Team,2021,UAE Tour,2.UWT,Stage Race,Tier 5 GC,WorldTour,7,Tier 5,GC
6-Mar-21,47,5,VALVERDE Alejandro,Movistar Team,2021,Strade Bianche,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
7-Mar-21,8,50,VALVERDE Alejandro,Movistar Team,2021,GP Industria & Artigianato,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
24-Mar-21,3,8,VALVERDE Alejandro,Movistar Team,2021,Volta Ciclista a Catalunya,2.UWT,Stage Race,Tier 4 SC,WorldTour,,Tier 4,SC
28-Mar-21,4,220,VALVERDE Alejandro,Movistar Team,2021,Volta Ciclista a Catalunya,2.UWT,Stage Race,Tier 4 GC,WorldTour,7,Tier 4,GC
3-Apr-21,1,200,VALVERDE Alejandro,Movistar Team,2021,Gran Premio Miguel Indurain,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
7-Apr-21,3,8,VALVERDE Alejandro,Movistar Team,2021,Itzulia Basque Country,2.UWT,Stage Race,Tier 4 SC,WorldTour,,Tier 4,SC
10-Apr-21,7,120,VALVERDE Alejandro,Movistar Team,2021,Itzulia Basque Country,2.UWT,Stage Race,Tier 4 GC,WorldTour,6,Tier 4,GC
10-Apr-21,3,8,VALVERDE Alejandro,Movistar Team,2021,Itzulia Basque Country,2.UWT,Stage Race,Tier 4 SC,WorldTour,,Tier 4,SC
18-Apr-21,5,225,VALVERDE Alejandro,Movistar Team,2021,Amstel Gold Race,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
21-Apr-21,3,260,VALVERDE Alejandro,Movistar Team,2021,La Flèche Wallonne,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
25-Apr-21,4,275,VALVERDE Alejandro,Movistar Team,2021,Liège-Bastogne-Liège,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
31-May-21,3,10,VALVERDE Alejandro,Movistar Team,2021,Critérium du Dauphiné,2.UWT,Stage Race,Tier 3 SC,WorldTour,,Tier 3,SC
4-Jun-21,1,60,VALVERDE Alejandro,Movistar Team,2021,Critérium du Dauphiné,2.UWT,Stage Race,Tier 3 SC,WorldTour,,Tier 3,SC
6-Jun-21,14,40,VALVERDE Alejandro,Movistar Team,2021,Critérium du Dauphiné,2.UWT,Stage Race,Tier 3 GC,WorldTour,8,Tier 3,GC
11-Jul-21,2,50,VALVERDE Alejandro,Movistar Team,2021,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
18-Jul-21,24,40,VALVERDE Alejandro,Movistar Team,2021,Tour de France,Grand Tour,Grand Tour,Tier 1 GC,WorldTour,21,Tier 1,GC
24-Jul-21,42,10,VALVERDE Alejandro,Movistar Team,2021,Jeux Olympiques / Olympic Games - IRR,JO,Championships,JO ME RR,Other,1,JO,ME RR
30-Sep-21,1,14,VALVERDE Alejandro,Movistar Team,2021,Giro di Sicilia - Tour of Sicily,2.1,Stage Race,C1 SC,Other,,2.1,SC
30-Sep-21,1,3,VALVERDE Alejandro,Movistar Team,2021,Giro di Sicilia - Tour of Sicily,2.1,Stage Race,C1 SGC,Other,,2.1,SGC
1-Oct-21,2,85,VALVERDE Alejandro,Movistar Team,2021,Giro di Sicilia - Tour of Sicily,2.1,Stage Race,C1 GC,Other,4,2.1,GC
6-Oct-21,10,35,VALVERDE Alejandro,Movistar Team,2021,Milano - Torino,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
9-Oct-21,5,225,VALVERDE Alejandro,Movistar Team,2021,Il Lombardia,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
11-Oct-21,9,25,VALVERDE Alejandro,Movistar Team,2021,Coppa Agostoni - Giro delle Brianze,1.1,One Day,C1 GC,Other,1,1.1,GC
27-Feb-21,32,5,VILLELLA Davide,Movistar Team,2021,UAE Tour,2.UWT,Stage Race,Tier 5 GC,WorldTour,7,Tier 5,GC
3-Mar-21,29,5,VILLELLA Davide,Movistar Team,2021,Trofeo Laigueglia,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
16-Mar-21,42,10,VILLELLA Davide,Movistar Team,2021,Tirreno-Adriatico,2.UWT,Stage Race,Tier 3 GC,WorldTour,7,Tier 3,GC
2-May-21,54,5,VILLELLA Davide,Movistar Team,2021,Tour de Romandie,2.UWT,Stage Race,Tier 3 GC,WorldTour,6,Tier 3,GC
30-May-21,55,12,VILLELLA Davide,Movistar Team,2021,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 GC,WorldTour,21,Tier 2,GC
18-Jul-21,5,50,VILLELLA Davide,Movistar Team,2021,Settimana Ciclistica Italiana,2.1,Stage Race,C1 GC,Other,5,2.1,GC
15-Aug-21,28,16,VILLELLA Davide,Movistar Team,2021,Tour de Pologne,2.UWT,Stage Race,Tier 4 GC,WorldTour,7,Tier 4,GC
5-Sep-21,39,8,VILLELLA Davide,Movistar Team,2021,Benelux Tour,2.UWT,Stage Race,Tier 4 GC,WorldTour,7,Tier 4,GC
15-Sep-21,5,50,VILLELLA Davide,Movistar Team,2021,Giro della Toscana - Memorial Alfredo Martini,1.1,One Day,C1 GC,Other,1,1.1,GC
16-Sep-21,11,30,VILLELLA Davide,Movistar Team,2021,Coppa Sabatini - Gran Premio città di Peccioli,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
18-Sep-21,7,35,VILLELLA Davide,Movistar Team,2021,Memorial Marco Pantani,1.1,One Day,C1 GC,Other,1,1.1,GC
19-Sep-21,4,60,VILLELLA Davide,Movistar Team,2021,Trofeo Matteotti,1.1,One Day,C1 GC,Other,1,1.1,GC
1-Oct-21,11,15,VILLELLA Davide,Movistar Team,2021,Giro di Sicilia - Tour of Sicily,2.1,Stage Race,C1 GC,Other,4,2.1,GC
5-Oct-21,23,5,VILLELLA Davide,Movistar Team,2021,100^ Tre Valli Varesine,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
9-Oct-21,22,20,VILLELLA Davide,Movistar Team,2021,Il Lombardia,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
13-Feb-21,3,5,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Tour de la Provence,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
14-Feb-21,2,150,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Tour de la Provence,2.Pro,Stage Race,P GC,ProSeries,4,2.Pro,GC
27-Feb-21,57,1,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Omloop Het Nieuwsblad Elite,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
6-Mar-21,2,250,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Strade Bianche,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
11-Mar-21,1,60,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Tirreno-Adriatico,2.UWT,Stage Race,Tier 3 SC,WorldTour,,Tier 3,SC
16-Mar-21,41,10,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Tirreno-Adriatico,2.UWT,Stage Race,Tier 3 GC,WorldTour,7,Tier 3,GC
20-Mar-21,16,30,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Milano-Sanremo,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
31-Mar-21,22,12,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Dwars door Vlaanderen - A travers la Flandre,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
4-Apr-21,42,10,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Ronde van Vlaanderen - Tour des Flandres,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
18-Apr-21,6,175,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Amstel Gold Race,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
21-Apr-21,1,400,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,La Flèche Wallonne,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
25-Apr-21,2,400,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Liège-Bastogne-Liège,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
8-Jun-21,3,10,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Tour de Suisse,2.UWT,Stage Race,Tier 3 SC,WorldTour,,Tier 3,SC
12-Jun-21,2,25,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Tour de Suisse,2.UWT,Stage Race,Tier 3 SC,WorldTour,,Tier 3,SC
26-Jun-21,1,120,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
26-Jun-21,1,25,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Tour de France,Grand Tour,Grand Tour,Tier 1 SGC,WorldTour,,Tier 1,SGC
27-Jun-21,5,5,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
18-Jul-21,30,30,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Tour de France,Grand Tour,Grand Tour,Tier 1 GC,WorldTour,21,Tier 1,GC
31-Jul-21,6,140,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Donostia San Sebastian Klasikoa,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
26-Aug-21,13,5,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Druivenkoers - Overijse,1.1,One Day,C1 GC,Other,1,1.1,GC
29-Aug-21,2,320,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Bretagne Classic - Ouest-France,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
7-Sep-21,2,1.67,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Tour of Britain,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
8-Sep-21,2,10,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Tour of Britain,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
10-Sep-21,3,5,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Tour of Britain,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
12-Sep-21,3,125,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Tour of Britain,2.Pro,Stage Race,P GC,ProSeries,8,2.Pro,GC
26-Sep-21,1,600,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Championnats du Monde Route UCI / UCI Road World Championships,CM,Championships,CM ME RR,Other,1,CM,ME RR
6-Oct-21,25,5,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Milano - Torino,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
9-Oct-21,6,175,ALAPHILIPPE Julian,QuickStep-AlphaVinyl,2021,Il Lombardia,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
27-Feb-21,49,5,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,Omloop Het Nieuwsblad Elite,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
28-Feb-21,34,3,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,Kuurne - Bruxelles - Kuurne,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
6-Mar-21,25,12,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,Strade Bianche,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
16-Mar-21,58,3,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,Tirreno-Adriatico,2.UWT,Stage Race,Tier 3 GC,WorldTour,7,Tier 3,GC
26-Mar-21,1,400,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,E3 Saxo Bank Classic,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
31-Mar-21,30,12,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,Dwars door Vlaanderen - A travers la Flandre,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
4-Apr-21,1,500,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,Ronde van Vlaanderen - Tour des Flandres,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
8-May-21,1,20,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,Volta ao Algarve em Bicicleta,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
9-May-21,3,125,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,Volta ao Algarve em Bicicleta,2.Pro,Stage Race,P GC,ProSeries,5,2.Pro,GC
2-Jun-21,3,10,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,Critérium du Dauphiné,2.UWT,Stage Race,Tier 3 SC,WorldTour,,Tier 3,SC
17-Jun-21,1,50,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,National Road Championships - Denmark,CN,Championships,CN ME ITT,Other,1,CN,ME ITT
2-Jul-21,5,5,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
17-Jul-21,2,50,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
28-Jul-21,7,85,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,Jeux Olympiques / Olympic Games - ITT,JO,Championships,JO ME ITT,Other,1,JO,ME ITT
26-Aug-21,4,60,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,Druivenkoers - Overijse,1.1,One Day,C1 GC,Other,1,1.1,GC
5-Sep-21,12,48,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,Benelux Tour,2.UWT,Stage Race,Tier 4 GC,WorldTour,7,Tier 4,GC
9-Sep-21,7,15,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,UEC Road European Championships,CC,Championships,CC ME ITT,Other,1,CC,ME ITT
19-Sep-21,4,150,ASGREEN Kasper,QuickStep-AlphaVinyl,2021,Championnats du Monde Route UCI / UCI Road World Championships,CM,Championships,CM ME ITT,Other,1,CM,ME ITT
7-Mar-21,2,85,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Grote prijs Jean - Pierre Monseré,1.1,One Day,C1 GC,Other,1,1.1,GC
19-Mar-21,30,5,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Bredene Koksijde Classic,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
23-Mar-21,2,5,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Settimana Internazionale Coppi e Bartali,2.1,Stage Race,C1 SC,Other,,2.1,SC
23-Mar-21,3,0.6,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Settimana Internazionale Coppi e Bartali,2.1,Stage Race,C1 SC,Other,,2.1,SC
23-Mar-21,1,3,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Settimana Internazionale Coppi e Bartali,2.1,Stage Race,C1 SGC,Other,,2.1,SGC
7-Apr-21,3,125,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Scheldeprijs,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
12-Apr-21,1,20,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,56. Presidential Cycling Tour of Turkey,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
12-Apr-21,1,5,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,56. Presidential Cycling Tour of Turkey,2.Pro,Stage Race,P SGC,ProSeries,,2.Pro,SGC
13-Apr-21,1,20,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,56. Presidential Cycling Tour of Turkey,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
13-Apr-21,1,5,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,56. Presidential Cycling Tour of Turkey,2.Pro,Stage Race,P SGC,ProSeries,,2.Pro,SGC
14-Apr-21,1,20,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,56. Presidential Cycling Tour of Turkey,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
14-Apr-21,1,5,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,56. Presidential Cycling Tour of Turkey,2.Pro,Stage Race,P SGC,ProSeries,,2.Pro,SGC
17-Apr-21,3,5,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,56. Presidential Cycling Tour of Turkey,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
18-Apr-21,1,20,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,56. Presidential Cycling Tour of Turkey,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
6-Jun-21,2,85,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Elfstedenronde,1.1,One Day,C1 GC,Other,1,1.1,GC
13-Jun-21,1,20,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Baloise Belgium Tour,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
29-Jun-21,1,120,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
1-Jul-21,1,120,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
6-Jul-21,1,120,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
9-Jul-21,1,120,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
18-Jul-21,1,120,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Tour de France,Grand Tour,Grand Tour,Tier 1 PC,WorldTour,,Tier 1,PC
18-Jul-21,3,25,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
10-Aug-21,2,10,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,PostNord Danmark Rundt - Tour of Denmark,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
14-Aug-21,21,5,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,PostNord Danmark Rundt - Tour of Denmark,2.Pro,Stage Race,P GC,ProSeries,5,2.Pro,GC
7-Sep-21,2,1.67,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Tour of Britain,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
12-Sep-21,3,5,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Tour of Britain,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
3-Oct-21,1,200,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Sparkassen Münsterland Giro,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
5-Oct-21,15,5,CAVENDISH Mark,QuickStep-AlphaVinyl,2021,Binche - Chimay - Binche / Mémorial Frank Vandenbroucke,1.1,One Day,C1 GC,Other,1,1.1,GC
13-May-21,4,12,EVENEPOEL Remco,QuickStep-AlphaVinyl,2021,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
16-May-21,4,12,EVENEPOEL Remco,QuickStep-AlphaVinyl,2021,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
9-Jun-21,2,10,EVENEPOEL Remco,QuickStep-AlphaVinyl,2021,Baloise Belgium Tour,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
9-Jun-21,1,5,EVENEPOEL Remco,QuickStep-AlphaVinyl,2021,Baloise Belgium Tour,2.Pro,Stage Race,P SGC,ProSeries,,2.Pro,SGC
